,user_id,name,email,address,birth_dt,phone,type,rubro
52,MLB1776408590,Sra. Beatriz Vieira,daniel90@example.net,"Estação Enzo Viana, 49
Belmonte
77645919 Carvalho das Pedras / MS",1968-03-10,+55 11 3079 4548,,
53,MLB5642902960,Lucas Gabriel Fogaça,uoliveira@example.net,"Recanto de Aragão, 33
Vila Inestan
27756-821 Fogaça / MS",2007-03-11,+55 41 9110 5085,,
54,MLB4623991670,Erick Fernandes,moreirajoao@example.net,"Pátio de da Cruz, 3
Vila Copasa
76632473 da Costa Verde / GO",1951-01-05,0300-391-0928,,
55,MLB2059174710,Henrique Rodrigues,alvespaulo@example.net,"Esplanada de Cardoso, 56
Tres Marias
47491607 Lopes / RN",1921-11-19,41 4105 7432,,
56,MLB10596261770,Dr. Vicente Barros,gabrielda-costa@example.net,"Praça Marina Lopes, 58
São Damião
48147990 Azevedo Alegre / MS",1989-01-26,(021) 3094 6919,,
57,MLB5331965050,Yasmin Cunha,cardososabrina@example.com,"Viela Otávio Teixeira, 10
Bonfim
06251-342 Silveira de Silveira / AL",1996-05-11,+55 61 7288-3886,,
58,MLB6264424100,Rodrigo Pires,isaac87@example.com,"Trevo Fernanda Moreira
Vila Nova Gameleira 2ª Seção
62896467 Martins / AM",2008-03-10,+55 (041) 3288-9914,,
59,MLB10332524570,Isadora Costa,hramos@example.com,"Vale Renan da Paz, 223
Vila Primeiro De Maio
60129-583 Monteiro do Amparo / ES",1988-03-05,(041) 4949 3248,,
60,MLB5823229200,Maria Caldeira,ferreirapedro@example.net,"Núcleo Sofia Pereira, 574
Lorena
60039826 Martins de Alves / ES",2022-06-10,+55 (081) 9757-9725,,
61,MLB7642379740,Pedro Miguel Rezende,bda-rosa@example.com,"Esplanada Martins, 5
Mirante
69040913 da Cunha / DF",1988-12-13,+55 (031) 6103-9107,,
62,MLB7329329830,Thiago Monteiro,da-conceicaomariane@example.com,"Núcleo Lima, 7
Tupi B
13342-089 Lima do Oeste / AM",2018-07-15,+55 84 1691-0749,,
63,MLB1868077220,Dr. João Pedro Mendes,eloahrezende@example.com,"Passarela Nunes, 97
Aparecida 7ª Seção
61152-576 Rodrigues / RS",2023-06-06,(041) 7437 4988,,
64,MLB410656131730,Cauê Duarte,ylopes@example.com,"Setor de Porto, 56
Suzana
42057513 Teixeira / AM",1971-09-15,+55 84 0922-4091,9.0,6.0
65,MLB10223550420-1,Pietra Sales,nicolaspires@example.org,"Parque Luiz Felipe Monteiro, 958
Barro Preto
75660429 Pires de Ribeiro / AP",1914-10-31,0800 686 3475,,
66,MLB317938200-1,Lucca Araújo,cpinto@example.net,"Estrada Nascimento, 64
Vila Paris
65952399 Barbosa do Norte / AL",1913-09-09,+55 (041) 1351 3681,,
67,MLB8036184410,Bárbara Ferreira,wrocha@example.org,"Sítio Theo Costa, 75
São Gabriel
35440-078 Cavalcanti / SP",2014-05-20,(021) 5085 8831,,
68,MLB2084339050,Thiago Mendes,da-cunhacecilia@example.net,"Sítio Pietro Martins, 74
São Lucas
44349586 Vieira / AM",2006-03-13,0900-155-0465,,
69,MLB42914318570,Sra. Esther Lopes,nicolefernandes@example.net,"Via Gomes, 70
Vila Do Pombal
57905-703 Cardoso / DF",1933-05-05,(071) 9076 2731,8.0,2.0
70,MLB4564079110,Elisa Melo,salves@example.com,"Parque Isaac Ramos
Vila Betânia
22031621 Ramos / RS",1960-03-11,(021) 5951 8084,,
71,MLB6832201810-1,Samuel Lopes,peixotomaria-cecilia@example.net,"Trevo Duarte, 97
Carmo
59751901 Ribeiro / MG",2019-03-03,(021) 8440 2412,,
72,MLB8362533980,Ana Luiza Moreira,caldeiraclara@example.net,"Lago de Monteiro, 84
São Jorge 1ª Seção
77075-417 Peixoto de Peixoto / TO",2003-07-02,+55 71 6384 4741,,
73,MLB410640527622,Maysa Nunes,ucosta@example.org,"Sítio Bernardo Barbosa, 230
Lagoa
60127-715 Nascimento / SP",1945-02-13,0300-088-4162,9.0,3.0
74,MLB228857200,Laura Vieira,gabrielly74@example.com,"Fazenda Esther Pereira, 545
Oeste
80080-772 Barros Alegre / RS",1986-07-28,0900 509 3719,,
75,MLB2625050420-1,Felipe Teixeira,hfernandes@example.org,"Sítio da Mota
Vila Novo São Lucas
72723526 da Luz / RS",1994-02-21,0900 751 9576,,
76,MLB916493700-1,Evelyn Alves,heitor48@example.com,"Setor de Mendes, 492
Vila Canto Do Sabiá
71851-813 Pereira do Sul / ES",1933-02-06,81 4094 9797,,
77,MLB2091646870,Srta. Mirella Viana,zpeixoto@example.org,"Trevo de Silva, 8
Vila Santo Antônio Barroquinha
65123465 Cardoso das Flores / MA",1955-05-20,+55 (071) 3219-8158,,
78,MLB984572410,Juan Martins,marianada-cruz@example.com,"Trevo Isis Monteiro, 21
Lagoinha
54743-363 Mendes do Galho / MS",1994-05-07,31 8425-7417,,
79,MLB10618307480,Sr. Leandro Monteiro,da-conceicaoalana@example.net,"Viaduto de Rezende, 731
Bacurau
40185066 Mendes dos Dourados / PR",1942-10-12,0900 406 3546,,
80,MLB44526112150,Helena Porto,fernandosouza@example.net,"Área de Carvalho, 58
Barroca
92828-555 Castro da Mata / SP",1955-10-12,+55 (084) 2169 0296,,7.0
81,MLB2291155570,Leandro Duarte,nicole17@example.com,"Rodovia Ana Luiza Porto, 41
Antonio Ribeiro De Abreu 1ª Seção
33918697 Vieira / AL",1928-01-26,41 3457-7120,,
82,MLB43981217222,Agatha Cardoso,sgoncalves@example.net,"Área Alice Lima, 17
Bom Jesus
48442234 da Costa / SC",1910-02-13,(041) 0696 9707,9.0,5.0
83,MLB2830105570,Giovanna Ribeiro,lpires@example.com,"Praia Rafaela Souza, 520
Custodinha
85624824 das Neves / SC",1929-05-17,(084) 9058-8495,,
84,MLB10620325410,Alana da Conceição,ribeiroelisa@example.net,"Esplanada Pinto, 27
Fazendinha
42744-831 Pereira de Dias / MG",1973-11-19,+55 (084) 3948 6470,,
85,MLB44917656910,Evelyn Peixoto,maria-vitoriaalmeida@example.com,"Residencial Caldeira, 25
Solimoes
40931951 Pires / MG",1994-05-20,+55 81 0761-9567,9.0,2.0
86,MLB10507728030,Danilo Nascimento,rafaelamonteiro@example.net,"Lagoa de Nogueira, 610
Mariano De Abreu
44402540 Nunes / SC",2001-10-04,(084) 6107 2281,,
87,MLB10649565220,Camila Almeida,caue74@example.com,"Setor Paulo Duarte
Vila São Dimas
24477-676 Gomes Alegre / RS",2001-11-05,+55 84 1850 5565,,
88,MLB8036836810,Vitor Gabriel Rocha,nicole21@example.org,"Vereda Maitê Farias, 84
Santana Do Cafezal
31669553 Porto da Serra / MT",2018-07-24,0900-110-1663,,
89,MLB6490850290,Evelyn Caldeira,esthercorreia@example.com,"Jardim de Viana, 447
Prado
69985303 Gomes / PE",1932-08-30,(011) 8569 9782,,
90,MLB410156914410,Maria Cecília Cardoso,cardosofrancisco@example.com,"Setor da Mota, 65
Camargos
28797-327 Nogueira / PB",1912-11-05,84 5091-0808,,6.0
91,MLB2408078160-1,Daniela Campos,naraujo@example.net,"Feira Breno Alves, 96
Canaa
31599-563 da Conceição Grande / PB",2017-08-23,31 0649-2843,,
92,MLB8244531790,Enzo Duarte,alvesraquel@example.com,"Alameda Enzo Gabriel Fogaça
Estoril
58212178 Oliveira de da Cunha / AM",1985-10-02,41 4653 4986,,
93,MLB10608512620,João Felipe da Rosa,wcaldeira@example.net,"Morro Rezende
Serra
78733450 Mendes / PA",1922-11-18,+55 41 5514 0783,,
94,MLB10574917710,Dr. Renan da Cruz,bryannunes@example.net,"Lagoa Benjamin Silveira
Coração Eucarístico
74574-844 da Conceição / SP",1997-01-10,+55 (011) 2959-1058,,
95,MLB41772703522,Lívia Araújo,cardosorafaela@example.net,"Vereda de Rodrigues, 556
Dom Cabral
66480282 da Cunha das Flores / RR",1937-08-03,31 4158 1382,,8.0
96,MLB2009599640,Daniel Ferreira,da-rosamarina@example.net,"Praça Luiz Otávio Jesus, 29
Silveira
90415569 Cunha / RJ",2011-12-18,61 9223-9418,,
97,MLB10611128010-1,Maria Vitória Martins,fernando00@example.net,"Setor Gomes, 13
Vila Antena
36069-530 Vieira / CE",1981-06-12,(051) 7281-4394,,
98,MLB46984946450,Elisa da Paz,zcavalcanti@example.net,"Parque de Novaes, 29
Cidade Jardim Taquaril
12904923 Teixeira do Norte / RO",1949-02-07,84 8835 1072,,1.0
99,MLB41334025522,Bianca Fogaça,ana-julia08@example.com,"Aeroporto de Araújo, 935
Vila Mantiqueira
11699337 Caldeira / MS",2001-03-19,(071) 4685 6316,,9.0
100,MLB10622582810,Raul Fogaça,luiza15@example.net,"Esplanada Enrico Santos, 28
Conjunto Califórnia Ii
16247158 Mendes / PR",2005-02-09,(031) 4503-6596,,
101,MLB7531812980,Joana Viana,noah23@example.org,"Rodovia Fernandes, 651
Marieta 3ª Seção
34199-263 Dias das Flores / RN",2012-03-04,(084) 9691 3035,,
102,MLB3842788990,Beatriz Pires,xda-cruz@example.net,"Praia de Cavalcanti, 556
Conjunto Taquaril
87771992 Pinto Alegre / MS",1980-01-19,+55 (011) 5059-6350,,
103,MLB289180230-1,Dr. Fernando Moraes,mariana92@example.com,"Condomínio Vitor Santos, 29
Cruzeiro
98135764 Barros / PR",1954-05-20,0500-456-5052,,
104,MLB42870709150,Clarice Almeida,vitor-hugo87@example.com,"Parque Ribeiro, 32
Vila Paquetá
19902476 Silva / ES",1943-03-31,(011) 7009 9280,,8.0
105,MLB4667646280,Guilherme das Neves,noah54@example.net,"Travessa da Rosa, 968
Vila Atila De Paiva
07192-421 Nunes / DF",2011-10-31,(061) 5756-0166,,
106,MLB937100440,Marina Pires,araujoclarice@example.com,"Setor de Peixoto, 4
Ápia
64845-957 Ribeiro do Oeste / DF",1963-08-31,+55 11 9067-0242,,
107,MLB2481945750,Augusto da Paz,ogoncalves@example.com,"Praça Porto, 3
Vila Coqueiral
40189350 da Cunha / MG",1967-10-09,+55 (061) 6751 6211,,
108,MLB3848758050,Beatriz das Neves,bnovaes@example.com,"Estrada Moura, 82
Glória
74404483 Silveira / RN",1998-06-18,51 0962 9824,,
109,MLB7007736810,Maria Sophia Silva,omartins@example.net,"Favela de Campos
Vila Nova
43382-856 Cunha de Ramos / MG",2012-05-06,84 1478-3629,,
110,MLB603464020,Pedro Pereira,maria-clara44@example.net,"Travessa de Costela, 83
Pindorama
42227806 Nogueira / AM",2020-10-16,+55 11 1950-6403,,
111,MLB10618122590,Lucas da Rosa,yagoramos@example.com,"Praia Teixeira, 22
Atila De Paiva
75243-933 Rocha / GO",1917-08-07,61 5575 1263,,
112,MLB1501027270,Sr. João Pereira,carvalhogabrielly@example.com,"Quadra de Jesus, 18
Mangueiras
08855129 Carvalho do Sul / MS",1938-12-25,(084) 0263 3430,,
113,MLB2341341760,Mariana Rezende,njesus@example.org,"Alameda da Rocha, 51
Buritis
18226063 Melo / RN",1934-10-13,+55 (071) 9713 5050,,
114,MLB10534650390-1,Elisa Carvalho,das-nevesenzo-gabriel@example.org,"Setor Castro, 351
Alto Dos Pinheiros
03593-818 da Rocha / AC",1909-07-12,41 0940-2417,,
115,MLB2165784160,João Miguel Lopes,nrodrigues@example.org,"Esplanada Novaes, 21
Manacas
04883-043 Lopes Alegre / RN",1957-06-17,0800-051-1753,,
116,MLB6296053540-1,Nicole Duarte,stephanycosta@example.net,"Passarela de da Paz
Vila São Rafael
32295-587 Ferreira das Pedras / SP",1917-12-23,84 5338-2812,,
117,MLB10567812240,Breno Duarte,mourajoao@example.org,"Pátio Moreira, 29
Salgado Filho
46535-934 Gomes / MS",2018-09-19,+55 (084) 4629 6867,,
118,MLB415181910-1,Ana Julia da Rosa,souzarenan@example.com,"Rodovia de da Cunha, 88
Braúnas
97684-560 Vieira da Serra / RO",1939-08-06,+55 31 0683 3249,,
119,MLB44494107200,Bruna Moraes,eloahvieira@example.com,"Avenida Vieira, 73
Granja Werneck
48357-002 Gomes do Oeste / GO",1938-09-18,+55 31 6785-0158,,4.0
120,MLB657761100,Srta. Isabelly Lopes,xnascimento@example.com,"Colônia da Paz, 77
Vila Mantiqueira
38039-517 Silveira do Amparo / PI",1928-05-06,+55 (011) 4028-8711,,
121,MLB4207188730,João Felipe Fernandes,silvacalebe@example.net,"Lagoa Caio Alves, 83
Alto Vera Cruz
71957-091 da Mata da Serra / DF",1985-04-06,+55 21 7380-2287,,
122,MLB2679061740,Lavínia Costela,thomas90@example.net,"Parque João Vitor Cunha, 8
Itapoa
54832825 Nogueira do Sul / SP",2012-06-14,+55 31 8916-8292,,
123,MLB10653330340,João Pedro da Conceição,paulofogaca@example.com,"Campo Oliveira, 73
Vila Suzana Segunda Seção
18996755 Alves Paulista / TO",1956-10-10,+55 (084) 2507 8839,,
124,MLB8372628370,Renan da Rosa,kamillyviana@example.net,"Chácara de Lima, 243
Vila Paraíso
65463-251 Silveira / RN",2004-06-13,+55 11 9054-2269,,
125,MLB1326049020,Davi Nascimento,ana-laura21@example.net,"Ladeira Pereira, 89
Cônego Pinheiro 1ª Seção
22682938 da Costa / AC",1994-05-07,0800 968 0537,,
126,MLB6788836540,Sr. Pedro da Paz,stephanypires@example.org,"Aeroporto Melo, 64
Vila Santa Monica 1ª Seção
12746-954 Nogueira / PE",1994-06-18,81 7416 3289,,
127,MLB2393311940-1,João Vitor Mendes,gabriellyfarias@example.org,"Pátio Lima, 13
Nova Vista
15055154 Moura da Mata / MG",1968-12-27,81 6922 7653,,
128,MLB7976438510,Miguel Novaes,brunomendes@example.com,"Núcleo Moreira, 681
Anchieta
97156-627 Azevedo da Prata / PI",1981-02-25,+55 81 6541 7285,,
129,MLB467924480,Sr. Davi Sales,muriloda-costa@example.net,"Vale Ferreira, 3
Nossa Senhora Aparecida
30968-853 Porto Grande / PB",1997-07-30,(031) 6479-2590,,
130,MLB3511002560,Luiz Otávio Cavalcanti,tcorreia@example.com,"Passarela de Dias, 77
Vila Sumaré
56354-897 das Neves das Pedras / RJ",1977-01-03,0900 034 6317,,
131,MLB410524024780,Esther Lopes,melodiogo@example.org,"Conjunto Novaes
Fazendinha
44708-472 da Cruz / PR",1946-05-12,+55 (081) 5539 4311,8.0,1.0
132,MLB4635982750-1,Davi Lucca Ribeiro,davi-luiz70@example.com,"Campo de Duarte, 46
Vila Madre Gertrudes 3ª Seção
86712-933 Rezende / AM",1993-01-30,(051) 4771 9000,,
133,MLB10604050520,Sra. Helena Ferreira,fernandesrafael@example.net,"Morro de da Rocha, 534
Das Industrias I
60917345 Novaes / CE",1945-06-05,+55 84 7287-2043,,
134,MLB6760728810,Pedro Miguel Azevedo,cribeiro@example.com,"Vereda Oliveira, 5
Vila Copasa
34774-337 Souza do Galho / MA",1995-08-22,0300-625-1909,,
135,MLB10658298880,Julia Barros,maria-ceciliacardoso@example.org,"Viela Bárbara da Cruz, 10
Vila Nova Cachoeirinha 3ª Seção
84408905 Oliveira / PB",2012-01-11,21 6515-9672,,
136,MLB7075354940,Laís da Paz,cavalcantibarbara@example.net,"Estação de da Mota, 6
Conjunto São Francisco De Assis
27600691 Gonçalves das Flores / SC",2020-06-17,41 5680-6708,,
137,MLB1595097800,João Lucas Teixeira,freitasclara@example.org,"Feira de Souza, 164
São Jorge 2ª Seção
13908404 Peixoto / RR",1962-09-20,+55 41 3088-7731,,
138,MLB1694378100,Danilo Fogaça,maria-luizapereira@example.org,"Estação Davi Luiz Campos, 38
Silveira
90721-086 Caldeira / DF",2000-12-10,+55 (021) 2213 3382,,
139,MLB6184387940,Eloah Freitas,milena54@example.org,"Sítio de Pinto, 80
Alto Dos Pinheiros
09513744 Ribeiro Verde / TO",1947-10-31,(011) 4255-4640,,
140,MLB7760031240,Breno Castro,heloisa98@example.net,"Lago de das Neves, 721
Nazare
64703-002 Lima dos Dourados / RR",1928-01-29,(084) 1587-5877,,
141,MLB2280943080,Bruna Araújo,enzoda-conceicao@example.org,"Parque Cavalcanti, 23
Cruzeiro
35643158 da Cunha Grande / PE",1922-01-29,+55 (031) 2814 5632,,
142,MLB10229976040,Isis Almeida,hfarias@example.net,"Via Stella Santos
Alto Das Antenas
13692837 Nogueira de Silva / SC",1965-11-25,+55 41 0033 5301,,
143,MLB5390349410,Sr. Isaac da Mota,anthonymendes@example.org,"Distrito Luana Araújo, 970
Aguas Claras
27220033 da Mata / RJ",1960-12-23,+55 81 6657 1558,,
144,MLB2506097010,Renan Cunha,erick39@example.net,"Viela Lucas Moraes, 2
Bairro Das Indústrias Ii
40576921 Pires do Sul / PA",1922-06-02,(081) 7323 7704,,
145,MLB1100088870-1,Dra. Sophia Cavalcanti,leandroferreira@example.org,"Residencial de da Mata, 32
Ventosa
65868826 Cavalcanti / RS",1930-04-05,+55 21 9722-6279,,
146,MLB2254003900,Dr. Yago Moreira,qcosta@example.net,"Viela de Fogaça, 882
Vila Atila De Paiva
52269-466 Caldeira de Farias / GO",1970-12-02,(084) 4989 6706,,
147,MLB3790283630,Vitor Azevedo,nicolas12@example.net,"Rodovia Barbosa, 4
Nossa Senhora Do Rosário
96212-001 Rocha / CE",1918-04-01,+55 84 2497 5315,,
148,MLB8365133180-1,Rafaela Pinto,jesusjoao@example.com,"Condomínio Costa, 394
Floresta
13002-695 Cardoso de Costela / MS",1915-12-21,+55 (061) 4623-4663,,
149,MLB1830419870,Raul Rocha,davi-luccaazevedo@example.net,"Colônia Antônio Azevedo, 12
Vila Aeroporto
26534-282 da Rocha / DF",1937-04-05,21 5404-2019,,
150,MLB7534460460,Dra. Caroline Pereira,joana24@example.org,"Trevo Ana Luiza Cunha, 563
Pousada Santo Antonio
02784409 Jesus da Mata / SC",2023-09-01,(021) 8243 5408,,
151,MLB10655453510-1,Heitor Ribeiro,bianca81@example.org,"Largo Vinicius Lopes, 454
Trevo
72612169 Araújo / SP",2009-02-23,+55 71 7063-7863,,
152,MLB4508126430,Joana Cardoso,iramos@example.net,"Esplanada Maria Julia Dias
Aguas Claras
39610267 Teixeira dos Dourados / PA",1915-02-15,81 1685 2451,,
153,MLB10520762990,Maria Alves,fariasbernardo@example.org,"Viaduto de Cunha, 534
Jardim Atlântico
63046-633 Jesus / PE",1921-07-04,+55 (051) 6656-5785,,
154,MLB10657968160,Pedro Lucas Correia,pedro-lucasoliveira@example.net,"Campo de Farias, 72
Glória
61055841 Nascimento das Pedras / AC",2001-01-05,+55 (084) 1658-4280,,
155,MLB410664829380,Dr. Noah Costa,araujojulia@example.com,"Sítio Pires, 50
Tres Marias
14551261 Nunes de da Cunha / RJ",2001-09-25,+55 61 8167 0604,,4.0
